Kabupaten/Kota;Status Kabupaten/Kota;Kecamatan;Desa/Kelurahan;Status Desa/Kelurahan
Asahan;Kabupaten;Aek Kuasan;Aek Loba;Desa
Asahan;Kabupaten;Aek Kuasan;Aek Loba Afdeling I;Desa
Asahan;Kabupaten;Aek Kuasan;Alang Bonbon;Desa
Asahan;Kabupaten;Aek Kuasan;Lobu Jiur;Desa
Asahan;Kabupaten;Aek Kuasan;Rawa Sari;Desa
Asahan;Kabupaten;Aek Kuasan;Sengon Sari;Desa
Asahan;Kabupaten;Aek Kuasan;Aek Loba Pekan;Kelurahan
Asahan;Kabupaten;Aek Ledong;Aek Bange;Desa
Asahan;Kabupaten;Aek Ledong;Aek Korsik;Desa
Asahan;Kabupaten;Aek Ledong;Aek Ledong;Desa
Asahan;Kabupaten;Aek Ledong;Aek Nabuntu;Desa
Asahan;Kabupaten;Aek Ledong;Ledong Barat;Desa
Asahan;Kabupaten;Aek Ledong;Ledong Timur;Desa
Asahan;Kabupaten;Aek Ledong;Padang Sipirok;Desa
Asahan;Kabupaten;Aek Songsongan;Aek Bamban;Desa
Asahan;Kabupaten;Aek Songsongan;Aek Songsongan;Desa
Asahan;Kabupaten;Aek Songsongan;Lobu Rappa;Desa
Asahan;Kabupaten;Aek Songsongan;Marjanji Aceh;Desa
Asahan;Kabupaten;Aek Songsongan;Mekar Marjanji;Desa
Asahan;Kabupaten;Aek Songsongan;Perkebunan Bandar Pulau;Desa
Asahan;Kabupaten;Aek Songsongan;Perkebunan Bandar Selamat;Desa
Asahan;Kabupaten;Aek Songsongan;Situnjak;Desa
Asahan;Kabupaten;Aek Songsongan;Tangga;Desa
Asahan;Kabupaten;Air Batu;Air Genting;Desa
Asahan;Kabupaten;Air Batu;Air Teluk Hessa;Desa
Asahan;Kabupaten;Air Batu;Danau Sijabut;Desa
Asahan;Kabupaten;Air Batu;Hessa Air Genting;Desa
Asahan;Kabupaten;Air Batu;Hessa Perlompongan;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Air Batu I-II;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Air Batu III-IV;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Pulahan;Desa
Asahan;Kabupaten;Air Batu;Pinanggiripan;Desa
Asahan;Kabupaten;Air Batu;Pulau Pule;Desa
Asahan;Kabupaten;Air Batu;Sei Alim Ulu;Desa
Asahan;Kabupaten;Air Batu;Sijabut Teratai;Desa
Asahan;Kabupaten;Air Joman;Air Joman;Desa
Asahan;Kabupaten;Air Joman;Air Joman Baru;Desa
Asahan;Kabupaten;Air Joman;Banjar;Desa
Asahan;Kabupaten;Air Joman;Pasar Lembu;Desa
Asahan;Kabupaten;Air Joman;Punggulan;Desa
Asahan;Kabupaten;Air Joman;Subur;Desa
Asahan;Kabupaten;Air Joman;Binjai Serbangan;Kelurahan
Asahan;Kabupaten;Bandar Pasir Mandoge;Bandar Pasir Mandoge;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Gotting Sidodadi;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Huta Bagasan;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Huta Padang;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Sei Kopas;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Sei Nadoras;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Silau Jawa;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Suka Makmur;Desa
Asahan;Kabupaten;Bandar Pasir Mandoge;Tomuan Holbung;Desa
Asahan;Kabupaten;Bandar Pulau;Aek Nagali;Desa
Asahan;Kabupaten;Bandar Pulau;Bandar Pulau Pekan;Desa
Asahan;Kabupaten;Bandar Pulau;Buntu Maraja;Desa
Asahan;Kabupaten;Bandar Pulau;Gajah Sakti;Desa
Asahan;Kabupaten;Bandar Pulau;Gonting Malaha;Desa
Asahan;Kabupaten;Bandar Pulau;Gunung Berkat;Desa
Asahan;Kabupaten;Bandar Pulau;Huta Rao;Desa
Asahan;Kabupaten;Bandar Pulau;Padang Pulau;Desa
Asahan;Kabupaten;Bandar Pulau;Perkebunan Aek Tarum;Desa
Asahan;Kabupaten;Bandar Pulau;Perkebunan Padang Pulau;Desa
Asahan;Kabupaten;Buntu Pane;Ambalutu;Desa
Asahan;Kabupaten;Buntu Pane;Buntu Pane;Desa
Asahan;Kabupaten;Buntu Pane;Karya Ambalutu;Desa
Asahan;Kabupaten;Buntu Pane;Lestari;Desa
Asahan;Kabupaten;Buntu Pane;Mekar Sari;Desa
Asahan;Kabupaten;Buntu Pane;Perkebunan Sei Silau;Desa
Asahan;Kabupaten;Buntu Pane;Prapat Janji;Desa
Asahan;Kabupaten;Buntu Pane;Sei Silau Timur;Desa
Asahan;Kabupaten;Buntu Pane;Sionggang;Desa
Asahan;Kabupaten;Kota Kisaran Barat;Bunut;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Bunut Barat;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Dadi Mulyo;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Kisaran Barat;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Kisaran Baru;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Kisaran Kota;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Mekar Baru;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Sei Renggas;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Sendang Sari;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Sidodadi;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Sidomukti;Kelurahan
Asahan;Kabupaten;Kota Kisaran Barat;Tebing Kisaran;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Gambir Baru;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Karang Anyer;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Kedai Ledang;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Kisaran Naga;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Kisaran Timur;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Lestari;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Mutiara;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Selawan;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Sentang;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Siumbut Baru;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Siumbut-umbut;Kelurahan
Asahan;Kabupaten;Kota Kisaran Timur;Teladan;Kelurahan
Asahan;Kabupaten;Meranti;Air Putih;Desa
Asahan;Kabupaten;Meranti;Gajah;Desa
Asahan;Kabupaten;Meranti;Meranti;Desa
Asahan;Kabupaten;Meranti;Perkebunan Sei Baleh;Desa
Asahan;Kabupaten;Meranti;Sei Beluru;Desa
Asahan;Kabupaten;Meranti;Serdang;Desa
Asahan;Kabupaten;Meranti;Sukajadi;Desa
Asahan;Kabupaten;Pulau Rakyat;Bangun;Desa
Asahan;Kabupaten;Pulau Rakyat;Baru;Desa
Asahan;Kabupaten;Pulau Rakyat;Manis;Desa
Asahan;Kabupaten;Pulau Rakyat;Mekar Sari;Desa
Asahan;Kabupaten;Pulau Rakyat;Ofa Padang Mahondang;Desa
Asahan;Kabupaten;Pulau Rakyat;Orika;Desa
Asahan;Kabupaten;Pulau Rakyat;Padang Mahondang;Desa
Asahan;Kabupaten;Pulau Rakyat;Persatuan;Desa
Asahan;Kabupaten;Pulau Rakyat;Pulau Rakyat Pekan;Desa
Asahan;Kabupaten;Pulau Rakyat;Pulau Rakyat Tua;Desa
Asahan;Kabupaten;Pulau Rakyat;Sei Piring;Desa
Asahan;Kabupaten;Pulau Rakyat;Tunggul Empat Lima;Desa
Asahan;Kabupaten;Pulo Bandring;Bunut Seberang;Desa
Asahan;Kabupaten;Pulo Bandring;Gedangan;Desa
Asahan;Kabupaten;Pulo Bandring;Perhutaan Silau;Desa
Asahan;Kabupaten;Pulo Bandring;Pulo Bandring;Desa
Asahan;Kabupaten;Pulo Bandring;Suka Damai;Desa
Asahan;Kabupaten;Pulo Bandring;Suka Damai Barat;Desa
Asahan;Kabupaten;Pulo Bandring;Suka Makmur;Desa
Asahan;Kabupaten;Pulo Bandring;Taman Sari;Desa
Asahan;Kabupaten;Pulo Bandring;Tanah Rakyat;Desa
Asahan;Kabupaten;Pulo Bandring;Sidomulyo;Desa
Asahan;Kabupaten;Rahuning;Batu Anam;Desa
Asahan;Kabupaten;Rahuning;Gunung Melayu;Desa
Asahan;Kabupaten;Rahuning;Perkebunan Aek Nagaga;Desa
Asahan;Kabupaten;Rahuning;Perkebunan Gunung Melayu;Desa
Asahan;Kabupaten;Rahuning;Rahuning;Desa
Asahan;Kabupaten;Rahuning;Rahuning I;Desa
Asahan;Kabupaten;Rahuning;Rahuning II;Desa
Asahan;Kabupaten;Rawang Panca Arga;Rawang Lama;Desa
Asahan;Kabupaten;Rawang Panca Arga;Rawang Baru;Desa
Asahan;Kabupaten;Rawang Panca Arga;Rawang Pasar IV;Desa
Asahan;Kabupaten;Rawang Panca Arga;Rawang Pasar V;Desa
Asahan;Kabupaten;Rawang Panca Arga;Pondok Bungur;Desa
Asahan;Kabupaten;Rawang Panca Arga;Panca Arga;Desa
Asahan;Kabupaten;Rawang Panca Arga;Rawang Pasar VI;Desa
Asahan;Kabupaten;Sei Dadap;Bahung Sibatu-batu;Desa
Asahan;Kabupaten;Sei Dadap;Pasiran;Desa
Asahan;Kabupaten;Sei Dadap;Perkebunan Sei Dadap I-II;Desa
Asahan;Kabupaten;Sei Dadap;Perkebunan Sei Dadap III-IV;Desa
Asahan;Kabupaten;Sei Dadap;Sei Alim Hasak;Desa
Asahan;Kabupaten;Sei Dadap;Sei Kamah Baru;Desa
Asahan;Kabupaten;Sei Dadap;Sei Kamah I;Desa
Asahan;Kabupaten;Sei Dadap;Sei Kamah II;Desa
Asahan;Kabupaten;Sei Dadap;Tanjung Alam;Desa
Asahan;Kabupaten;Sei Dadap;Tanjung Asri;Desa
Asahan;Kabupaten;Sei Kepayang;Bangun Baru;Desa
Asahan;Kabupaten;Sei Kepayang;Perbangunan;Desa
Asahan;Kabupaten;Sei Kepayang;Pertahanan;Desa
Asahan;Kabupaten;Sei Kepayang;Sei Kepayang Kanan;Desa
Asahan;Kabupaten;Sei Kepayang;Sei Kepayang Tengah;Desa
Asahan;Kabupaten;Sei Kepayang;Sei Paham;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Jawi-jawi;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Kepayang Kiri;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Lendir;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Nangka;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Serindan;Desa
Asahan;Kabupaten;Sei Kepayang Barat;Sei Tualang Pandau;Desa
Asahan;Kabupaten;Sei Kepayang Timur;Sarang Helang;Desa
Asahan;Kabupaten;Sei Kepayang Timur;Sei Lunang;Desa
Asahan;Kabupaten;Sei Kepayang Timur;Sei Pasir;Desa
Asahan;Kabupaten;Sei Kepayang Timur;Sei Sembilang;Desa
Asahan;Kabupaten;Sei Kepayang Timur;Sei Tempurung;Desa
Asahan;Kabupaten;Setia Janji;Bangun Sari;Desa
Asahan;Kabupaten;Setia Janji;Sei Silau Barat;Desa
Asahan;Kabupaten;Setia Janji;Sei Silau Tua;Desa
Asahan;Kabupaten;Setia Janji;Silau Maraja;Desa
Asahan;Kabupaten;Setia Janji;Urung Pane;Desa
Asahan;Kabupaten;Silau Laut;Bangun Sari;Desa
Asahan;Kabupaten;Silau Laut;Lubuk Palas;Desa
Asahan;Kabupaten;Silau Laut;Silo Baru;Desa
Asahan;Kabupaten;Silau Laut;Silo Bonto;Desa
Asahan;Kabupaten;Silau Laut;Silo Lama;Desa
Asahan;Kabupaten;Simpang Empat;Anjung Gadang;Desa
Asahan;Kabupaten;Simpang Empat;Perkebunan Hessa;Desa
Asahan;Kabupaten;Simpang Empat;Perkebunan Sukaraja;Desa
Asahan;Kabupaten;Simpang Empat;Sei Dua Hulu;Desa
Asahan;Kabupaten;Simpang Empat;Silomlom;Desa
Asahan;Kabupaten;Simpang Empat;Simpang Empat;Desa
Asahan;Kabupaten;Simpang Empat;Sipaku Area;Desa
Asahan;Kabupaten;Simpang Empat;Sungai Lama;Desa
Asahan;Kabupaten;Tanjung Balai;Asahan Mati;Desa
Asahan;Kabupaten;Tanjung Balai;Kapias Batu VIII;Desa
Asahan;Kabupaten;Tanjung Balai;Pematang Sungai Baru;Desa
Asahan;Kabupaten;Tanjung Balai;Sungai Apung;Desa
Asahan;Kabupaten;Tanjung Balai;Bagan Asahan;Desa
Asahan;Kabupaten;Tanjung Balai;Bagan Asahan Baru;Desa
Asahan;Kabupaten;Tanjung Balai;Bagan Asahan Pekan;Desa
Asahan;Kabupaten;Tanjung Balai;Sei Apung Jaya;Desa
Asahan;Kabupaten;Teluk Dalam;Air Teluk Kiri;Desa
Asahan;Kabupaten;Teluk Dalam;Mekar Tanjung;Desa
Asahan;Kabupaten;Teluk Dalam;Perkebunan Teluk Dalam;Desa
Asahan;Kabupaten;Teluk Dalam;Pulau Maria;Desa
Asahan;Kabupaten;Teluk Dalam;Pulau Tanjung;Desa
Asahan;Kabupaten;Teluk Dalam;Teluk Dalam;Desa
Asahan;Kabupaten;Tinggi Raja;Padang Sari;Desa
Asahan;Kabupaten;Tinggi Raja;Piasa Ulu;Desa
Asahan;Kabupaten;Tinggi Raja;Sidomulyo;Desa
Asahan;Kabupaten;Tinggi Raja;Sumber Harapan;Desa
Asahan;Kabupaten;Tinggi Raja;Teladan;Desa
Asahan;Kabupaten;Tinggi Raja;Terusan Tengah;Desa
Asahan;Kabupaten;Tinggi Raja;Tinggi Raja;Desa
Dairi;Kabupaten;Berampu;Banjar Toba;Desa
Dairi;Kabupaten;Berampu;Berampu;Desa
Dairi;Kabupaten;Berampu;Karing;Desa
Dairi;Kabupaten;Berampu;Pasi;Desa
Dairi;Kabupaten;Berampu;Sambaliang;Desa
Dairi;Kabupaten;Gunung Sitember;Batu Gun-gun;Desa
Dairi;Kabupaten;Gunung Sitember;Bukit Lau Kersik;Desa
Dairi;Kabupaten;Gunung Sitember;Gundaling;Desa
Dairi;Kabupaten;Gunung Sitember;Gunung Sitember;Desa
Dairi;Kabupaten;Gunung Sitember;Kendit Liang;Desa
Dairi;Kabupaten;Gunung Sitember;Lau Lebah;Desa
Dairi;Kabupaten;Gunung Sitember;Rante Besi;Desa
Dairi;Kabupaten;Gunung Sitember;Tupak Raja;Desa
Dairi;Kabupaten;Lae Parira;Bulu Duri;Desa
Dairi;Kabupaten;Lae Parira;Kaban Julu;Desa
Dairi;Kabupaten;Lae Parira;Kentara;Desa
Dairi;Kabupaten;Lae Parira;Lae Parira;Desa
Dairi;Kabupaten;Lae Parira;Lumban Sihite;Desa
Dairi;Kabupaten;Lae Parira;Lumban Toruan;Desa
Dairi;Kabupaten;Lae Parira;Pandiangan;Desa
Dairi;Kabupaten;Lae Parira;Sempung Polling;Desa
Dairi;Kabupaten;Lae Parira;Sumbul;Desa
Dairi;Kabupaten;Parbuluan;Bangun;Desa
Dairi;Kabupaten;Parbuluan;Bangun I;Desa
Dairi;Kabupaten;Parbuluan;Lae Hole;Desa
Dairi;Kabupaten;Parbuluan;Lae Hole I;Desa
Dairi;Kabupaten;Parbuluan;Lae Hole II;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan I;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan II;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan III;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan IV;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan V;Desa
Dairi;Kabupaten;Parbuluan;Parbuluan VI;Desa
Dairi;Kabupaten;Pegagan Hilir;Bandar Huta Usang;Desa
Dairi;Kabupaten;Pegagan Hilir;Bukit Baru;Desa
Dairi;Kabupaten;Pegagan Hilir;Bukit Tinggi;Desa
Dairi;Kabupaten;Pegagan Hilir;Kuta Usang;Desa
Dairi;Kabupaten;Pegagan Hilir;Laksa;Desa
Dairi;Kabupaten;Pegagan Hilir;Lingga Raja;Desa
Dairi;Kabupaten;Pegagan Hilir;Lingga Raja II;Desa
Dairi;Kabupaten;Pegagan Hilir;Mbinanga;Desa
Dairi;Kabupaten;Pegagan Hilir;Onan Lama;Desa
Dairi;Kabupaten;Pegagan Hilir;Perik Mbue;Desa
Dairi;Kabupaten;Pegagan Hilir;Simanduma;Desa
Dairi;Kabupaten;Pegagan Hilir;Simartugan;Desa
Dairi;Kabupaten;Pegagan Hilir;Tanjung Saluksuk;Desa
Dairi;Kabupaten;Sidikalang;Belang Malum;Desa
Dairi;Kabupaten;Sidikalang;Bintang;Desa
Dairi;Kabupaten;Sidikalang;Bintang Mersada;Desa
Dairi;Kabupaten;Sidikalang;Huta Rakyat;Desa
Dairi;Kabupaten;Sidikalang;Kalang;Desa
Dairi;Kabupaten;Sidikalang;Kalang Simbara;Desa
Dairi;Kabupaten;Sidikalang;Batang Beruh;Kelurahan
Dairi;Kabupaten;Sidikalang;Bintang Hulu;Kelurahan
Dairi;Kabupaten;Sidikalang;Kuta Gambir;Kelurahan
Dairi;Kabupaten;Sidikalang;Sidiangkat;Kelurahan
Dairi;Kabupaten;Sidikalang;Sidikalang Kota;Kelurahan
Dairi;Kabupaten;Siempat Nempu;Adian Gupa;Desa
Dairi;Kabupaten;Siempat Nempu;Adian Nangka;Desa
Dairi;Kabupaten;Siempat Nempu;Buntu Raja;Desa
Dairi;Kabupaten;Siempat Nempu;Gomit;Desa
Dairi;Kabupaten;Siempat Nempu;Huta Imbaru;Desa
Dairi;Kabupaten;Siempat Nempu;Jumantuang;Desa
Dairi;Kabupaten;Siempat Nempu;Jumasiulok;Desa
Dairi;Kabupaten;Siempat Nempu;Jumateguh;Desa
Dairi;Kabupaten;Siempat Nempu;Maju;Desa
Dairi;Kabupaten;Siempat Nempu;Sihorbo;Desa
Dairi;Kabupaten;Siempat Nempu;Sinampang;Desa
Dairi;Kabupaten;Siempat Nempu;Soban;Desa
Dairi;Kabupaten;Siempat Nempu;Sosorlontung;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Jambur Indonesia;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Janji;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Lae Haporas;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Lae Itam;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Lae Luhung;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Lae Markelang;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Lae Sering;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Pardomuan;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Simungun;Desa
Dairi;Kabupaten;Siempat Nempu Hilir;Sopo Butar;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Bakal Julu;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Gunung Meriah;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Kuta Tengah;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Lae Nuaha;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Pandan;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Pangaribuan;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Sigambir Gambir;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Silumboyah;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Sipoltong;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Sungai Raya;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Tambahan;Desa
Dairi;Kabupaten;Siempat Nempu Hulu;Tualang;Desa
Dairi;Kabupaten;Silahisabungan;Paropo;Desa
Dairi;Kabupaten;Silahisabungan;Paropo I;Desa
Dairi;Kabupaten;Silahisabungan;Silalahi I;Desa
Dairi;Kabupaten;Silahisabungan;Silalahi II;Desa
Dairi;Kabupaten;Silahisabungan;Silalahi III;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Bakal Gajah;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Bongkaras;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Bonian;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Lae Ambat;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Lae Pangaroan;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Lae Panginuman;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Lae Rambong;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Longkotan;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Palipi;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Polling Anak-Anak,;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Siboras;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Siratah;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Sumbari;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Tungtung Batu;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Uruk Belin;Desa
Dairi;Kabupaten;Silima Pungga-Pungga;Parongil;Kelurahan
Dairi;Kabupaten;Sitinjo;Sitinjo;Desa
Dairi;Kabupaten;Sitinjo;Sitinjo I;Desa
Dairi;Kabupaten;Sitinjo;Sitinjo II;Desa
Dairi;Kabupaten;Sitinjo;Panji Dabutar;Kelurahan
Dairi;Kabupaten;Sumbul;Barisan Nauli;Desa
Dairi;Kabupaten;Sumbul;Dolok Tolong;Desa
Dairi;Kabupaten;Sumbul;Kuta Gugung;Desa
Dairi;Kabupaten;Sumbul;Pangguruan;Desa
Dairi;Kabupaten;Sumbul;Pargambiran;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu II;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu III;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu IV;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu IX;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu V;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu VI;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu VII;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu VIII;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu X;Desa
Dairi;Kabupaten;Sumbul;Perjuangan;Desa
Dairi;Kabupaten;Sumbul;Sileuh-Leuh Parsaoran;Desa
Dairi;Kabupaten;Sumbul;Tanjung Beringin;Desa
Dairi;Kabupaten;Sumbul;Tanjung Beringin I;Desa
Dairi;Kabupaten;Sumbul;Pegagan Julu I;Kelurahan
Dairi;Kabupaten;Tanah Pinem;Alur Subur;Desa
Dairi;Kabupaten;Tanah Pinem;Balan Dua;Desa
Dairi;Kabupaten;Tanah Pinem;Gunung Tua;Desa
Dairi;Kabupaten;Tanah Pinem;Harapan;Desa
Dairi;Kabupaten;Tanah Pinem;Kempawa;Desa
Dairi;Kabupaten;Tanah Pinem;Kuta Buluh;Desa
Dairi;Kabupaten;Tanah Pinem;Kuta Gamber;Desa
Dairi;Kabupaten;Tanah Pinem;Lau Njuhar I;Desa
Dairi;Kabupaten;Tanah Pinem;Lau Perimbon;Desa
Dairi;Kabupaten;Tanah Pinem;Lau Tawar;Desa
Dairi;Kabupaten;Tanah Pinem;Liang Jering;Desa
Dairi;Kabupaten;Tanah Pinem;Mangan Molih;Desa
Dairi;Kabupaten;Tanah Pinem;Pamah;Desa
Dairi;Kabupaten;Tanah Pinem;Pasir Mbelang;Desa
Dairi;Kabupaten;Tanah Pinem;Pasir Tengah;Desa
Dairi;Kabupaten;Tanah Pinem;Renun;Desa
Dairi;Kabupaten;Tanah Pinem;Sinar Pagi;Desa
Dairi;Kabupaten;Tanah Pinem;Suka Dame;Desa
Dairi;Kabupaten;Tanah Pinem;Tanah Pinem;Desa
Dairi;Kabupaten;Tigalingga;Bertungen Julu;Desa
Dairi;Kabupaten;Tigalingga;Juma Gerat;Desa
Dairi;Kabupaten;Tigalingga;Lau Bagot;Desa
Dairi;Kabupaten;Tigalingga;Lau Mel;Desa
Dairi;Kabupaten;Tigalingga;Lau Molgap;Desa
Dairi;Kabupaten;Tigalingga;Lau Pakpak;Desa
Dairi;Kabupaten;Tigalingga;Lau Sireme;Desa
Dairi;Kabupaten;Tigalingga;Palding Jaya Sumbul;Desa
Dairi;Kabupaten;Tigalingga;Palding;Desa
Dairi;Kabupaten;Tigalingga;Sarintonu;Desa
Dairi;Kabupaten;Tigalingga;Sukandebi;Desa
Dairi;Kabupaten;Tigalingga;Sumbul Tengah;Desa
Dairi;Kabupaten;Tigalingga;Tigalingga;Desa
Dairi;Kabupaten;Tigalingga;Ujung Teran;Desa
Batu Bara;Kabupaten;Air Putih;Aras;Desa
Batu Bara;Kabupaten;Air Putih;Limau Sundai;Desa
Batu Bara;Kabupaten;Air Putih;Pasar Lapan;Desa
Batu Bara;Kabupaten;Air Putih;Pematang Panjang;Desa
Batu Bara;Kabupaten;Air Putih;Sukaraja;Desa
Batu Bara;Kabupaten;Air Putih;Tanah Tinggi;Desa
Batu Bara;Kabupaten;Air Putih;Tanjung Harapan;Desa
Batu Bara;Kabupaten;Air Putih;Tanjung Kubah;Desa
Batu Bara;Kabupaten;Air Putih;Tanjung Muda;Desa
Batu Bara;Kabupaten;Air Putih;Sipare-pare;Desa
Batu Bara;Kabupaten;Air Putih;Tanah Merah;Desa
Batu Bara;Kabupaten;Air Putih;Sukaramai;Desa
Batu Bara;Kabupaten;Air Putih;Titi Payung;Desa
Batu Bara;Kabupaten;Air Putih;Perkotaan;Desa
Batu Bara;Kabupaten;Air Putih;Tanah Rendah;Desa
Batu Bara;Kabupaten;Air Putih;Kampung Kelapa;Desa
Batu Bara;Kabupaten;Air Putih;Tanjung Mulia;Desa
Batu Bara;Kabupaten;Air Putih;Indrapura;Kelurahan
Batu Bara;Kabupaten;Air Putih;Indrasakti;Kelurahan
Batu Bara;Kabupaten;Datuk Lima Puluh;Air Hitam;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Cahaya Pardomuan;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Empat Negeri;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Kwala Gunung;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Lubuk Besar;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Lubuk Hulu;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Perkebunan Tanah Itam Ulu;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Pulau Sejuk;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Simpang Dolok;Desa
Batu Bara;Kabupaten;Datuk Lima Puluh;Sumber Rejo;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Bangun Sari;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Binjai Baru;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Glugur Makmur;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Karang Baru;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Mekar Baru;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Perkebunan Petatal;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Perkebunan Tanah Datar;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Petatal;Desa
Batu Bara;Kabupaten;Datuk Tanah Datar;Sei Muka;Desa
